State,abbrev,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
Alabama,AL,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Alaska,AK,No Law,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Arizona,AZ,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Arkansas,AR,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
California,CA,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal,Legal
Colorado,CO,No Law,No Law,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Connecticut,CT,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal
Delaware,DE,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal
Florida,FL,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Georgia,GA,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Hawaii,HI,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal
Idaho,ID,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Illinois,IL,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal
Indiana,IN,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal
Iowa,IA,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal,Legal,Legal,Legal,Legal
Kansas,KS,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Kentucky,KY,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Louisiana,LA,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Maine,ME,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal,Legal
Maryland,MD,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal,Legal
Massachusetts,MA,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal
Michigan,MI,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Minnesota,MN,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal
Mississippi,MS,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Missouri,MO,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Montana,MT,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Nebraska,NE,No Law,No Law,No Law,No Law,No Law,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Nevada,NV,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
New Hampshire,NH,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal,Legal,Legal,Legal,Legal
New Jersey,NJ,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Legal,Legal,Legal
New Mexico,NM,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Legal,Legal,Legal
New York,NY,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Legal,Legal,Legal,Legal,Legal
North Carolina,NC,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
North Dakota,ND,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Ohio,OH,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Oklahoma,OK,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Oregon,OR,No Law,No Law,No Law,Statutory Ban,No Law,No Law,No Law,No Law,No Law,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Pennsylvania,PA,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal
Rhode Island,RI,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Legal,Legal,Legal
South Carolina,SC,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
South Dakota,SD,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Tennessee,TN,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Texas,TX,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Utah,UT,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Vermont,VT,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Legal,Legal,Legal,Legal,Legal,Legal,Legal
Virginia,VA,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Washington,WA,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal,Legal
West Virginia,WV,No Law,No Law,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal
Wisconsin,WI,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Wyoming,WY,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal
